CUSTOMERNAME,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment
"AV Stores, Co.",196,3,157807.81,2,2,4,224,Need Attention
Alpha Cognac,65,3,70488.44,4,2,2,422,Others
Amica Models & Co.,265,2,94117.26,1,1,3,113,Lost
"Anna's Decorations, Ltd",84,4,153996.13,3,4,4,344,Loyal Customers
Atelier graphique,188,3,24179.96,2,2,1,221,Need Attention
"Australian Collectables, Ltd",23,3,64591.46,4,2,1,421,Others
"Australian Collectors, Co.",184,5,200995.41,3,4,4,344,Loyal Customers
"Australian Gift Network, Co",119,3,59469.12,3,2,1,321,Others
Auto Assoc. & Cie.,233,2,64834.32,1,1,1,111,Lost
Auto Canal Petit,55,3,93170.66,4,2,3,423,Others
Auto-Moto Classics Inc.,180,3,26479.26,3,2,1,321,Others
Baane Mini Imports,208,4,116599.19,2,4,3,243,Need Attention
"Bavarian Collectables Imports, Co.",259,1,34993.92,1,1,1,111,Lost
"Blauer See Auto, Co.",208,4,85171.59,2,4,2,242,Need Attention
Boards & Toys Co.,113,2,9129.35,3,1,1,311,Others
CAF Imports,439,2,49642.05,1,1,1,111,Lost
Cambridge Collectables Co.,389,2,36163.62,1,1,1,111,Lost
Canadian Gift Exchange Network,222,2,75238.92,2,1,2,212,Others
"Classic Gift Ideas, Inc",230,2,67506.97,2,1,1,211,Others
Classic Legends Inc.,192,3,77795.2,2,2,2,222,Need Attention
"Clover Collections, Co.",258,2,57756.43,1,1,1,111,Lost
Collectable Mini Designs Co.,461,2,87489.23,1,1,3,113,Lost
Collectables For Less Inc.,132,3,81577.98,3,2,2,322,Others
Corporate Gift Ideas Co.,98,4,149882.5,3,4,4,344,Loyal Customers
"Corrida Auto Replicas, Ltd",212,3,120615.28,2,2,4,224,Need Attention
Cruz & Sons Co.,197,3,94015.73,2,2,3,223,Need Attention
Daedalus Designs Imports,466,2,69052.41,1,1,1,111,Lost
Danish Wholesale Imports,47,5,145041.6,4,4,4,444,Champions
Diecast Classics Inc.,2,4,122138.14,4,4,4,444,Champions
Diecast Collectables,401,2,70859.78,1,1,2,112,Lost
"Double Decker Gift Stores, Ltd",496,2,36019.04,1,1,1,111,Lost
"Dragon Souveniers, Ltd.",91,5,172989.68,3,4,4,344,Loyal Customers
Enaco Distributors,189,3,78411.86,2,2,2,222,Need Attention
Euro Shopping Channel,1,26,912294.11,4,4,4,444,Champions
FunGiftIdeas.com,90,3,98923.73,3,2,3,323,Others
Gift Depot Inc.,27,3,101894.79,4,2,3,423,Others
Gift Ideas Corp.,179,3,57294.42,3,2,1,321,Others
Gifts4AllAges.com,26,3,83209.88,4,2,2,422,Others
Handji Gifts& Co,39,4,115498.73,4,4,3,443,Loyal Customers
Heintze Collectables,222,2,100595.55,2,1,3,213,Others
Herkku Gifts,271,3,111640.28,1,2,3,123,Others
"Iberia Gift Imports, Corp.",238,2,54723.62,1,1,1,111,Lost
L'ordine Souveniers,22,3,142601.33,4,3,4,434,Loyal Customers
"La Corne D'abondance, Co.",193,3,97203.68,2,3,3,233,Need Attention
La Rochelle Gifts,1,4,180124.9,4,4,4,444,Champions
Land of Toys Inc.,198,4,164069.44,2,4,4,244,Need Attention
Lyon Souveniers,76,3,78570.34,4,3,2,432,Loyal Customers
Marseille Mini Autos,146,3,74936.14,3,3,2,332,Loyal Customers
Marta's Replicas Co.,231,2,103080.38,1,1,3,113,Lost
"Men 'R' US Retailers, Ltd.",509,2,48048.46,1,1,1,111,Lost
Microscale Inc.,210,2,33144.93,2,1,1,211,Others
Mini Auto Werke,83,3,52263.9,3,3,1,331,Loyal Customers
Mini Caravy,48,3,80438.48,4,3,2,432,Loyal Customers
Mini Classics,229,2,85555.99,2,1,2,212,Others
Mini Creations Ltd.,145,3,108951.13,3,3,3,333,Loyal Customers
Mini Gifts Distributors Ltd.,3,17,654858.06,4,4,4,444,Champions
Mini Wheels Co.,195,3,74476.18,2,3,2,232,Need Attention
Motor Mint Distributors Inc.,196,3,83682.16,2,3,2,232,Need Attention
Muscle Machine Inc,182,4,197736.94,3,4,4,344,Loyal Customers
"Norway Gifts By Mail, Co.",284,2,79224.23,1,1,2,112,Lost
Online Diecast Creations Co.,209,3,131685.3,2,3,4,234,Need Attention
Online Mini Collectables,264,2,57197.96,1,1,1,111,Lost
Osaka Souveniers Co.,414,2,67605.07,1,1,1,111,Lost
"Oulu Toy Supplies, Inc.",121,3,104370.38,3,3,3,333,Loyal Customers
Petit Auto,2,3,74972.52,4,3,2,432,Loyal Customers
Quebec Home Shopping Network,31,3,74204.79,4,3,2,432,Loyal Customers
Reims Collectables,63,5,135042.94,4,4,4,444,Champions
Rovelli Gifts,201,3,137955.72,2,3,4,234,Need Attention
"Royal Canadian Collectables, Ltd.",285,2,74634.85,1,1,2,112,Lost
Royale Belge,142,4,33440.1,3,4,1,341,Loyal Customers
Salzburg Collectables,15,4,149798.63,4,4,4,444,Champions
"Saveley & Henriot, Co.",456,3,142874.25,1,3,4,134,At Risk
Scandinavian Gift Ideas,90,3,134259.33,3,3,4,334,Loyal Customers
Signal Collectibles Ltd.,477,2,50218.51,1,2,1,121,Others
Signal Gift Stores,184,3,82751.08,3,3,2,332,Loyal Customers
Souveniers And Things Co.,3,4,151570.98,4,4,4,444,Champions
"Stylish Desk Decors, Co.",180,3,88804.5,3,3,3,333,Loyal Customers
Suominen Souveniers,146,3,113961.15,3,3,3,333,Loyal Customers
Super Scale Inc.,393,2,79472.07,1,2,2,122,Others
Technics Stores Inc.,147,4,120783.07,3,4,4,344,Loyal Customers
Tekni Collectables Inc.,59,3,83228.19,4,3,2,432,Loyal Customers
The Sharp Gifts Warehouse,40,4,160010.27,4,4,4,444,Champions
"Tokyo Collectables, Ltd",40,4,120562.74,4,4,3,443,Loyal Customers
"Toms Spezialitten, Ltd",228,2,100306.58,2,2,3,223,Need Attention
"Toys of Finland, Co.",112,3,111250.38,3,3,3,333,Loyal Customers
